hex,binary,decimal,rom_value,ascii_value,rom_unicode_name,ascii_unicode_name
0x1A,0001_1010,26,Σ,CONTROL (U+001A),GREEK CAPITAL LETTER SIGMA,CONTROL CHARACTER (U+001A)
0x1B,0001_1011,27,Υ,CONTROL (U+001B),GREEK CAPITAL LETTER UPSILON,CONTROL CHARACTER (U+001B)
0x1C,0001_1100,28,Φ,CONTROL (U+001C),GREEK CAPITAL LETTER PHI,CONTROL CHARACTER (U+001C)
0x1D,0001_1101,29,Ψ,CONTROL (U+001D),GREEK CAPITAL LETTER PSI,CONTROL CHARACTER (U+001D)
0x1E,0001_1110,30,Ω,CONTROL (U+001E),GREEK CAPITAL LETTER OMEGA,CONTROL CHARACTER (U+001E)
0x1F,0001_1111,31,α,CONTROL (U+001F),GREEK SMALL LETTER ALPHA,CONTROL CHARACTER (U+001F)
0x20,0010_0000,32, , ,SPACE,SPACE
0x21,0010_0001,33,!,!,EXCLAMATION MARK,EXCLAMATION MARK
0x22,0010_0010,34,"""","""",QUOTATION MARK,QUOTATION MARK
0x23,0010_0011,35,#,#,NUMBER SIGN,NUMBER SIGN
0x24,0010_0100,36,$,$,DOLLAR SIGN,DOLLAR SIGN
0x25,0010_0101,37,%,%,PERCENT SIGN,PERCENT SIGN
0x26,0010_0110,38,&,&,AMPERSAND,AMPERSAND
0x27,0010_0111,39,',',APOSTROPHE,APOSTROPHE
0x28,0010_1000,40,(,(,LEFT PARENTHESIS,LEFT PARENTHESIS
0x29,0010_1001,41,),),RIGHT PARENTHESIS,RIGHT PARENTHESIS
0x2A,0010_1010,42,*,*,ASTERISK,ASTERISK
0x2B,0010_1011,43,+,+,PLUS SIGN,PLUS SIGN
0x2C,0010_1100,44,",",",",COMMA,COMMA
0x2D,0010_1101,45,-,-,HYPHEN-MINUS,HYPHEN-MINUS
0x2E,0010_1110,46,.,.,FULL STOP,FULL STOP
0x2F,0010_1111,47,/,/,SOLIDUS,SOLIDUS
0x30,0011_0000,48,0,0,DIGIT ZERO,DIGIT ZERO
0x31,0011_0001,49,1,1,DIGIT ONE,DIGIT ONE
0x32,0011_0010,50,2,2,DIGIT TWO,DIGIT TWO
0x33,0011_0011,51,3,3,DIGIT THREE,DIGIT THREE
0x34,0011_0100,52,4,4,DIGIT FOUR,DIGIT FOUR
0x35,0011_0101,53,5,5,DIGIT FIVE,DIGIT FIVE
0x36,0011_0110,54,6,6,DIGIT SIX,DIGIT SIX
0x37,0011_0111,55,7,7,DIGIT SEVEN,DIGIT SEVEN
0x38,0011_1000,56,8,8,DIGIT EIGHT,DIGIT EIGHT
0x39,0011_1001,57,9,9,DIGIT NINE,DIGIT NINE
0x3A,0011_1010,58,:,:,COLON,COLON
0x3B,0011_1011,59,;,;,SEMICOLON,SEMICOLON
0x3C,0011_1100,60,<,<,LESS-THAN SIGN,LESS-THAN SIGN
0x3D,0011_1101,61,=,=,EQUALS SIGN,EQUALS SIGN
0x3E,0011_1110,62,>,>,GREATER-THAN SIGN,GREATER-THAN SIGN
